"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Mike Glennon",5000,"Sea@TB 04:05PM ET",4.500,"TB"
"QB","Ryan Griffin",5000,"Sea@TB 04:05PM ET",0,"TB"
"QB","Trevone Boykin",5000,"Sea@TB 04:05PM ET",1.633,"Sea"
"QB","Derek Anderson",5000,"Car@Oak 04:25PM ET",7.840,"Car"
"QB","Joe Webb",5000,"Car@Oak 04:25PM ET",0.163,"Car"
"QB","Matt McGloin",5000,"Car@Oak 04:25PM ET",0.000,"Oak"
"QB","Connor Cook",5000,"Car@Oak 04:25PM ET",0,"Oak"
"RB","Jonathan Stewart",5000,"Car@Oak 04:25PM ET",10.500,"Car"
"QB","Alex Smith",5000,"KC@Den 08:30PM ET",15.053,"KC"
"QB","Austin Davis",5000,"KC@Den 08:30PM ET",0,"Den"
"QB","Nick Foles",5000,"KC@Den 08:30PM ET",14.000,"KC"
"QB","Tyler Bray",5000,"KC@Den 08:30PM ET",0,"KC"
"QB","Paxton Lynch",5000,"KC@Den 08:30PM ET",12.060,"Den"
"RB","Charcandrick West",5000,"KC@Den 08:30PM ET",5.889,"KC"
"WR","Jeremy Maclin",5000,"KC@Den 08:30PM ET",9.938,"KC"
"QB","Bryce Petty",5000,"NE@NYJ 04:25PM ET",5.140,"NYJ"
"QB","Jimmy Garoppolo",5000,"NE@NYJ 04:25PM ET",9.235,"NE"
"QB","Christian Hackenberg",5000,"NE@NYJ 04:25PM ET",0,"NYJ"
"QB","Chase Daniel",5000,"GB@Phi 08:30PM ET",0.000,"Phi"
"QB","Brett Hundley",5000,"GB@Phi 08:30PM ET",-0.160,"GB"
