"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Jamize Olawale",3000,"Car@Oak 04:25PM ET",4.960,"Oak"
"WR","Brenton Bersin",3000,"Car@Oak 04:25PM ET",0.000,"Car"
"WR","Andre Holmes",3000,"Car@Oak 04:25PM ET",2.900,"Oak"
"WR","Corey Brown",3000,"Car@Oak 04:25PM ET",4.440,"Car"
"WR","Seth Roberts",3000,"Car@Oak 04:25PM ET",7.830,"Oak"
"WR","Johnny Holton",3000,"Car@Oak 04:25PM ET",0.633,"Oak"
"DST","Raiders ",3000,"Car@Oak 04:25PM ET",5.000,"Oak"
"RB","Anthony Sherman",3000,"KC@Den 08:30PM ET",0.390,"KC"
"RB","Knile Davis",3000,"KC@Den 08:30PM ET",0.978,"KC"
"RB","Juwan Thompson",3000,"KC@Den 08:30PM ET",3.050,"Den"
"RB","Bishop Sankey",3000,"KC@Den 08:30PM ET",0,"KC"
"RB","Andy Janovich",3000,"KC@Den 08:30PM ET",1.780,"Den"
"WR","Jordan Norwood",3000,"KC@Den 08:30PM ET",4.530,"Den"
"WR","Bennie Fowler",3000,"KC@Den 08:30PM ET",2.488,"Den"
"WR","Jordan Taylor",3000,"KC@Den 08:30PM ET",2.230,"Den"
"WR","De'Anthony Thomas",3000,"KC@Den 08:30PM ET",1.133,"KC"
"WR","Cody Latimer",3000,"KC@Den 08:30PM ET",0.743,"Den"
"WR","Demarcus Robinson",3000,"KC@Den 08:30PM ET",0.000,"KC"
"RB","C.J. Spiller",3000,"NE@NYJ 04:25PM ET",4.150,"NYJ"
"RB","James Develin",3000,"NE@NYJ 04:25PM ET",0.000,"NE"
"RB","Brandon Bolden",3000,"NE@NYJ 04:25PM ET",0.488,"NE"
"RB","D.J. Foster",3000,"NE@NYJ 04:25PM ET",1.200,"NE"
"WR","Matthew Slater",3000,"NE@NYJ 04:25PM ET",0.050,"NE"
"WR","Charone Peake",3000,"NE@NYJ 04:25PM ET",2.990,"NYJ"
"WR","Devin Smith",3000,"NE@NYJ 04:25PM ET",0,"NYJ"
"WR","Malcolm Mitchell",3000,"NE@NYJ 04:25PM ET",4.033,"NE"
