"Keith Mumphery",3000,HOU,WR,SDC,5.76,0,2.88
"Will Fuller",5100,HOU,WR,SDC,17.442,3.078,10.26
"DeAndre Hopkins",6300,HOU,WR,SDC,22.7604,6.4196,14.59
"Tyrell Williams",6000,SDC,WR,HOU,21.27,7.09,14.18
"Griff Whalen",3000,SDC,WR,HOU,3,0,1.5
"Antonio Brown",9200,PIT,WR,IND,32.4904,15.2896,23.89
"DeSean Jackson",4800,WAS,WR,DAL,19.716,5.724,12.72
"Stefon Diggs",6900,MIN,WR,DET,27.5064,10.1736,18.84
"Adam Thielen",4000,MIN,WR,DET,14.7033,4.5167,9.61
"Andre Roberts",3000,DET,WR,MIN,3.92,0,1.96
"Anquan Boldin",3300,DET,WR,MIN,14.0826,5.0774,9.58
"Marvin Jones",4100,DET,WR,MIN,16.0992,4.5408,10.32
"Golden Tate",5600,DET,WR,MIN,21.6288,8.4112,15.02
"Charles Johnson",3000,MIN,WR,DET,4.1,0,2.05
"Cordarrelle Patterson",3600,MIN,WR,DET,13.203,3.097,8.15
"Pierre Garcon",3900,WAS,WR,DAL,13.9375,8.3625,11.15
"Jamison Crowder",5800,WAS,WR,DAL,16.896,8.704,12.8
"Brice Butler",3000,DAL,WR,WAS,4.8,0,2.4
"Cole Beasley",5500,DAL,WR,WAS,16.184,6.936,11.56
"Dez Bryant",7700,DAL,WR,WAS,23.8752,9.2848,16.58
"Terrance Williams",3100,DAL,WR,WAS,12.9168,3.6432,8.28
"Larry Fitzgerald",7000,ARI,WR,ATL,27.122,11.078,19.1
"Michael Floyd",4300,ARI,WR,ATL,11.184,7.456,9.32
"Leonte Carroo",3000,MIA,WR,SFO,2.06,0,1.03
"Allen Robinson",7200,JAC,WR,BUF,23.309,9.291,16.3
"Allen Hurns",3900,JAC,WR,BUF,16.337,4.743,10.54
"Kenny Stills",3600,MIA,WR,SFO,14.499,3.401,8.95
"DeVante Parker",4700,MIA,WR,SFO,19.1425,5.5575,12.35
"Rod Streater",3000,SFO,WR,MIA,4.56,0,2.28
"Jarvis Landry",5900,MIA,WR,SFO,25.8068,8.8332,17.32
"Marqise Lee",4000,JAC,WR,BUF,16.571,6.129,11.35
"Rashad Greene",3000,JAC,WR,BUF,3.46,0,1.73
"Rishard Matthews",5800,TEN,WR,CHI,17.8572,8.0228,12.94
"Tajae Sharpe",3700,TEN,WR,CHI,15.5448,4.7752,10.16
"Brandon Tate",3000,BUF,WR,JAC,11.0894,1.3706,6.23
"Percy Harvin",3600,BUF,WR,JAC,14.5962,3.4238,9.01
"Marquise Goodwin",3600,BUF,WR,JAC,16.1304,4.5496,10.34
"Justin Hunter",3000,BUF,WR,JAC,9.82,0,4.91
"Jeremy Kerley",3500,SFO,WR,MIA,14.246,2.514,8.38
"Quinton Patton",3300,SFO,WR,MIA,14.4666,3.3934,8.93
"Justin Hardy",3000,ATL,WR,ARI,7.1556,0.8844,4.02
"Taylor Gabriel",3600,ATL,WR,ARI,10.0276,1.6324,5.83
"Mohamed Sanu",4300,ATL,WR,ARI,18.3596,4.8804,11.62
"Julio Jones",8500,ATL,WR,ARI,27.2857,8.8543,18.07
"John Brown",4000,ARI,WR,ATL,15.111,6.789,10.95
"J.J. Nelson",4200,ARI,WR,ATL,9.0774,5.6826,7.38
"Brandon LaFell",4600,CIN,WR,BAL,19.6259,4.7541,12.19
"Tyler Boyd",4000,CIN,WR,BAL,22.8525,4.8475,13.85
"Breshad Perriman",3100,BAL,WR,CIN,10.7016,1.0584,5.88
"Torrey Smith",3400,SFO,WR,MIA,9.288,1.512,5.4
"Kamar Aiken",3000,BAL,WR,CIN,8.1663,1.6137,4.89
"Steve Smith",6000,BAL,WR,CIN,20.8153,7.1247,13.97
"James Wright",3000,CIN,WR,BAL,9.68,0,4.84
"Mike Wallace",5300,BAL,WR,CIN,19.8245,5.7555,12.79
"Josh McCown",5000,CLE,QB,NYG,22.057,10.143,16.1
"Russell Wilson",6700,SEA,QB,TBB,24.7396,14.2204,19.48
"Jameis Winston",5400,TBB,QB,SEA,22.9704,10.8096,16.89
"Eli Manning",6500,NYG,QB,CLE,25.259,13.601,19.43
"Drew Brees",7100,NOS,QB,LAR,28.7658,16.8942,22.83
"Matt Barkley",5000,CHI,QB,TEN,16.9632,6.5968,11.78
"Jared Goff",5200,LAR,QB,NOS,20.424,9.176,14.8
"Cam Newton",6800,CAR,QB,OAK,28.032,15.768,21.9
"Derek Carr",6100,OAK,QB,CAR,25.6286,14.7314,20.18
"Aaron Rodgers",7000,GBP,QB,PHI,26.9616,16.8784,21.92
"Carson Wentz",5400,PHI,QB,GBP,18.1048,11.5752,14.84
"Ryan Fitzpatrick",5100,NYJ,QB,NEP,21.1736,10.6664,15.92
"Tom Brady",7800,NEP,QB,NYJ,29.4756,19.2444,24.36
"Alex Smith",5000,KCC,QB,DEN,20.0736,9.4464,14.76
"Trevor Siemian",5100,DEN,QB,KCC,18.5724,9.1476,13.86
"Marcus Mariota",7200,TEN,QB,CHI,25.7302,14.7898,20.26
"Tyrod Taylor",5900,BUF,QB,JAC,23.4522,12.9078,18.18
"Ben Roethlisberger",7300,PIT,QB,IND,26.2386,14.4414,20.34
"Scott Tolzien",5000,IND,QB,PIT,18.4005,8.8595,13.63
"Philip Rivers",6300,SDC,QB,HOU,22.6432,12.7368,17.69
"Kirk Cousins",5900,WAS,QB,DAL,22.5828,14.1372,18.36
"Dak Prescott",6300,DAL,QB,WAS,23.7871,13.6729,18.73
"Matthew Stafford",5700,DET,QB,MIN,22.1067,14.4333,18.27
"Sam Bradford",5100,MIN,QB,DET,19.1906,12.5294,15.86
"Brock Osweiler",5100,HOU,QB,SDC,19.0867,10.0533,14.57
"Carson Palmer",5300,ARI,QB,ATL,24.6411,12.9789,18.81
"Ryan Tannehill",5500,MIA,QB,SFO,20.82,13.88,17.35
"Blake Bortles",5600,JAC,QB,BUF,23.998,12.922,18.46
"Colin Kaepernick",5700,SFO,QB,MIA,25.3662,12.4938,18.93
"Joe Flacco",5300,BAL,QB,CIN,22.968,11.832,17.4
"Matt Ryan",6900,ATL,QB,ARI,25.5288,13.1512,19.34
"Andy Dalton",5400,CIN,QB,BAL,23.5669,12.4131,17.99
"Peyton Barber",3900,TBB,RB,SEA,4.3492,0.8908,2.62
"Doug Martin",4900,TBB,RB,SEA,18.9696,5.9904,12.48
"Alex Collins",3000,SEA,RB,TBB,11.4739,1.3461,6.41
"Jonathan Stewart",5000,CAR,RB,OAK,22.2224,7.0176,14.62
"Fozzy Whittaker",3000,CAR,RB,OAK,8.816,2.784,5.8
"Jamize Olawale",3000,OAK,RB,CAR,9.4866,2.1534,5.82
"DeAndre Washington",3900,OAK,RB,CAR,6.324,1.836,4.08
"Latavius Murray",5500,OAK,RB,CAR,20.251,6.049,13.15
"Thomas Rawls",5700,SEA,RB,TBB,17.849,9.611,13.73
"Alfred Blue",4300,HOU,RB,SDC,3.8394,0.9006,2.37
"Damien Williams",3900,MIA,RB,SFO,6.6736,1.0864,3.88
"Shaun Draughn",3200,SFO,RB,MIA,7.568,1.032,4.3
